Unnamed: 0,Species,NCBI Taxon ID,Order,Family,Genus,envelope,circular,double_stranded,rna,segmented,positive_sense,negative_sense,size,gc,genes,budding,lysis,release_other,cytoplasm,CE_clathrin,CE_receptor,CE_glycoproteins,CE_other
1896,Avipoxvirus isolate PM34/2007,468379,Chitovirales,Poxviridae,Avipoxvirus,True,False,True,False,True,False,False,,,,False,True,False,True,False,False,True,False
1894,Avipoxvirus isolate PM9/2007,468380,Chitovirales,Poxviridae,Avipoxvirus,True,False,True,False,True,False,False,,,,False,True,False,True,False,False,True,False
1900,Avipoxvirus blackcap/CZE/2007,469620,Chitovirales,Poxviridae,Avipoxvirus,True,False,True,False,True,False,False,,,,False,True,False,True,False,False,True,False
1898,Psittacine orthoreovirus AGPReo1983,489824,Reovirales,Spinareoviridae,Orthoreovirus,False,False,True,True,True,False,False,,,,False,False,True,True,True,False,False,False
1897,Flamingopox virus,503979,Chitovirales,Poxviridae,Avipoxvirus,True,False,True,False,True,False,False,,,,False,True,False,True,False,False,True,False
1889,Ostrich orthoreovirus Ost1,524890,Reovirales,Spinareoviridae,Orthoreovirus,False,False,True,True,True,False,False,,,,False,False,True,True,True,False,False,False
1888,Chicken astrovirus 2,544801,Stellavirales,Astroviridae,Avastrovirus,False,False,False,True,False,True,False,,,,False,False,True,True,False,True,False,False
1890,Avipoxvirus Berthelot's pipit/Porto Santo/V5PO/2006,565243,Chitovirales,Poxviridae,Avipoxvirus,True,False,True,False,True,False,False,,,,False,True,False,True,False,False,True,False
1891,Avipoxvirus Berthelot's pipit/Tenerife/blue titpox/2006,565244,Chitovirales,Poxviridae,Avipoxvirus,True,False,True,False,True,False,False,,,,False,True,False,True,False,False,True,False
1887,Avipoxvirus wood pigeon/ER-2008/CZE,569163,Chitovirales,Poxviridae,Avipoxvirus,True,False,True,False,True,False,False,,,,False,True,False,True,False,False,True,False
1839,Avipoxvirus great tit/ER-2008/CZE,569164,Chitovirales,Poxviridae,Avipoxvirus,True,False,True,False,True,False,False,,,,False,True,False,True,False,False,True,False
250,Thrush coronavirus HKU12-600,572290,Nidovirales,Coronaviridae,Deltacoronavirus,True,False,False,True,False,True,False,26396.0,38.0,9.0,True,False,False,True,False,False,True,False
112,Bulbul coronavirus HKU11,574549,Nidovirales,Coronaviridae,Deltacoronavirus,True,False,False,True,False,True,False,26487.0,38.5,9.0,True,False,False,True,False,False,True,False
1691,Fregata magnificens herpesvirus,576892,Herpesvirales,Orthoherpesviridae,,True,False,True,False,False,False,False,,,,True,False,False,False,False,False,True,False
1327,Budgerigar adenovirus 1,608831,Rowavirales,Adenoviridae,Siadenovirus,False,False,True,False,False,False,False,,,,False,True,False,False,False,False,True,False
1846,Avian rotavirus turkey/Minnesota/B1001/2008,639242,Reovirales,Sedoreoviridae,Rotavirus,False,False,True,True,True,False,False,,,,True,False,False,True,False,False,True,False
1847,Avian rotavirus turkey/Minnesota/B1002/2008,639243,Reovirales,Sedoreoviridae,Rotavirus,False,False,True,True,True,False,False,,,,True,False,False,True,False,False,True,False
1848,Avian rotavirus turkey/Minnesota/B1003/2008,639244,Reovirales,Sedoreoviridae,Rotavirus,False,False,True,True,True,False,False,,,,True,False,False,True,False,False,True,False
1849,Avian rotavirus turkey/Minnesota/B1004/2008,639245,Reovirales,Sedoreoviridae,Rotavirus,False,False,True,True,True,False,False,,,,True,False,False,True,False,False,True,False
1850,Avian rotavirus turkey/Minnesota/B1006/2008,639246,Reovirales,Sedoreoviridae,Rotavirus,False,False,True,True,True,False,False,,,,True,False,False,True,False,False,True,False
