,taxid,order,family,mass,trophic level,trophic niche,primary lifestyle,range size,habitat,habitat density,migration,evolutionary distinctiveness
244,1212470,16.0,62.0,11.84,0.0,5.0,3.0,6353206.91,2.0,1,3,111.12459498699609
245,279951,1.0,6.0,613.77,0.0,0.0,1.0,5510396.5,9.0,3,3,111.12459498657158
246,265639,16.0,35.0,28.8,0.0,5.0,3.0,1228571.5,2.0,1,1,111.1245949877117
247,555356,6.0,45.0,415.31,0.0,0.0,0.0,3285888.83,5.0,3,3,111.12459498699609
248,64802,16.0,37.0,38.29,1.0,2.0,3.0,22671334.66,2.0,1,2,111.12459498741
249,44391,16.0,63.0,20.31,1.0,7.0,2.0,12703362.43,8.0,3,1,111.12459498705032
250,8790,5.0,32.0,34093.25,1.0,7.0,4.0,4231350.45,3.0,3,1,111.12459498851
251,1192867,6.0,45.0,284.0,0.0,0.0,2.0,17767358.5,9.0,3,2,111.12459498699609
252,867384,22.0,78.0,130.0,1.0,7.0,3.0,65241.77,2.0,2,1,111.12459498695064
253,188338,9.0,25.0,146.0,0.0,5.0,3.0,9539437.58,10.0,2,3,111.1245949875887
254,43581,16.0,107.0,12.68,2.0,7.0,3.0,2701109.15,8.0,2,1,111.12459498658538
255,108826,16.0,26.0,644.3,2.0,7.0,2.0,4803477.78,8.0,2,1,111.12459498684164
256,297802,6.0,45.0,177.77,0.0,0.0,0.0,10192935.47,5.0,3,2,111.12459498651477
257,183177,19.0,72.0,74.94,2.0,7.0,3.0,24413724.29,10.0,1,1,111.12459498778308
258,56083,19.0,72.0,69.5,2.0,7.0,3.0,3074161.82,10.0,1,1,111.12459498777072
259,472989,12.0,68.0,310.0,1.0,7.0,4.0,2072227.73,2.0,2,1,111.12459498694083
260,8839,1.0,6.0,843.42,1.0,3.0,1.0,39707247.47,9.0,3,2,111.12459498653108
261,45649,1.0,6.0,798.0,2.0,3.0,1.0,544505.23,9.0,3,2,111.12459498665868
262,40817,14.0,40.0,5999.99,2.0,7.0,4.0,822333.13,9.0,3,3,111.1245949868653
263,182946,16.0,62.0,18.8,0.0,5.0,4.0,5222797.22,2.0,1,3,111.12459498758992
264,36243,8.0,23.0,232.94,1.0,7.0,4.0,16926350.97,10.0,3,3,111.12459498655772
265,759764,22.0,78.0,133.0,1.0,7.0,3.0,5305452.04,2.0,2,1,111.1245949867024
266,230656,16.0,53.0,14.09,0.0,5.0,3.0,32655980.34,8.0,3,2,111.12459498765251
267,670352,6.0,20.0,214.0,0.0,5.0,4.0,3294836.99,3.0,3,3,111.12459498689437
